steam_id,num_owned,num_friends
76561198121087395,141,0
76561198095131872,149,0
76561198819228126,182,10
76561198094963299,0,0
76561198246528584,318,0
76561198027220374,733,25
76561199652583234,0,2
76561198218115652,61,3
76561198091303882,0,0
76561198298898498,44,0
76561197997501890,0,10
76561198866018976,199,222
76561198432045858,0,0
76561198279796268,0,0
76561198409139092,0,21
76561198977674061,0,1
76561199477650115,0,1
76561198280739928,228,38
76561199435554657,0,0
76561198147330999,104,0
76561198017059425,0,15
76561198102673062,239,57
76561199008601843,0,19
76561198817194830,0,0
76561198324119577,126,36
76561199032492439,215,39
76561198898080938,12,9
76561198319883266,0,0
76561198128116210,120,33
76561198145481741,100,14
76561198087324183,0,0
76561199445301252,0,5
76561198137103152,182,0
76561198087338248,0,6
76561198074423387,0,0
76561198931922425,0,0
76561198436270930,6,64
76561198393265364,0,0
76561198068408121,0,0
76561198204477471,75,12
76561198445987196,77,22
76561198798677320,0,0
76561198036651347,73,46
76561198120413016,0,2
76561198273049162,36,9
76561198322927331,0,27
76561198363007049,0,5
76561198148745615,170,19
76561198084002640,189,0
76561198274242857,0,7
76561198200839614,0,28
76561198096299019,0,59
76561198372207968,0,0
76561199162194547,96,5
76561198020759218,0,0
76561199475481464,89,20
76561198025020214,0,0
76561198113038348,0,0
76561198154763572,0,0
76561198241614010,0,2
76561198048659022,343,103
76561198888750860,0,1
76561199110972171,0,0
76561198282839935,0,0
76561199152232163,0,13
76561198423988495,126,4
76561198251099626,60,1
76561198867725634,182,0
76561198015085887,163,0
76561198141525474,0,10
76561199488830928,0,7
76561198873702545,0,12
76561198077512274,118,0
76561197990380182,0,161
76561198152106096,0,5
76561198090378590,1024,42
76561199139394913,0,0
76561198067650764,54,0
76561198106937379,0,0
76561198798214928,0,0
76561198214462519,0,10
76561198973743160,0,28
76561198025006821,0,86
76561198400544110,32,0
76561198284497171,0,0
76561199239898644,0,9
76561198119771828,0,20
76561199233044005,0,3
76561199743667235,51,12
76561199654349433,0,0
76561199479336151,0,2
76561198351805937,0,0
76561198151399301,0,0
76561198090191457,0,160
76561199525140736,0,0
76561198217005999,67,0
76561198140566599,0,0
76561199480496041,0,0
76561199772399685,0,0
76561199390847399,0,0
76561198011177069,351,0
76561198078507674,161,69
76561198992977090,28,12
76561198158860587,0,0
76561199107921107,260,5
76561199130928685,67,67
76561198184380122,0,0
76561198311794482,64,21
76561197973607467,0,0
76561199522467658,0,9
76561198448219209,0,23
76561198008104618,459,131
76561198211754100,0,0
76561198248051876,0,0
76561198138691469,63,28
76561199225472609,0,7
76561198027559957,0,0
76561198851242371,0,10
76561199812184555,0,0
76561199526505552,0,0
76561198038570003,0,0
76561199073856275,0,0
76561199082139737,0,0
76561198274999550,0,22
76561198085783435,0,56
76561199195229700,100,42
76561198091217982,0,13
76561198188789418,116,34
76561199236651236,0,8
76561199247316637,55,7
76561199222422177,0,0
76561198046295096,0,29
76561198110898782,391,184
76561198166693102,277,36
76561199539674035,44,9
76561198306153093,0,0
76561198149727622,263,37
76561199849764276,1,0
76561199262462073,42,29
76561198370848757,89,2
76561198342242173,63,47
76561198107592042,0,11
76561198067477409,0,0
76561198278580341,246,117
76561199806731037,0,3
76561198399373779,0,0
76561199056593234,0,0
76561198420585370,0,0
76561199400413065,0,5
76561198372581856,0,13
76561198167262267,0,0
76561198099080014,160,80
76561198133540828,788,74
76561198285522992,272,123
76561198850222800,0,0
76561198238964104,0,0
76561199122829678,0,13
76561198101800258,190,48
76561198330403742,123,15
76561199016101985,0,2
76561199472590949,46,7
76561198023319634,0,8
76561198120080691,197,76
76561198111573695,0,12
76561198416283182,0,2
76561198426508231,20,2
76561198375710449,0,0
76561198798784859,0,0
76561199019355898,0,3
76561198116608640,138,0
76561198995096421,0,0
76561198091460920,0,60
76561198851691037,123,40
76561199137997369,0,2
76561198375911901,0,0
76561198311539530,182,68
76561199470458031,0,22
76561198104327668,157,46
76561199824714720,0,0
76561199353433245,105,3
76561198095290868,0,4
76561198136391163,0,65
76561198215766101,0,0
76561199027294919,0,0
76561198796285159,42,28
76561198080454984,0,0
